S/N,Category,Question type,Difficulty level,Question
4,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What are the requirements and fees required to submit a valid interconnection application for a large generator in ISO New England, based on the latest ISO-NE Interconnection Process Guide and ISO-NE Tariff Schedule 22 Large Generator Interconnection Procedures (LGIP)?"
5,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What detailed fees and payments are associated with each stage of the generation interconnection process in the MISO interconnection workflow, according to the latest MISO Tariff Attachment X Generator Interconnection Procedures (GIP)?"
7,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What fees are required for a valid generation interconnection request submission in CAISO according to the interconnection study deposits and fees requirements documentation on the CAISO interconnection request and study website?
8,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What is the capacity threshold that triggers the large generation interconnection process in NYISO according to the NYISO process manual 23 and guide UG21? Cite the relevant source report and section you got this from
9,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What is the capacity threshold that triggers the large generation interconnection process in PJM based on PJM process manual 14H? Cite the relevant source report and section for your answer
10,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What is the capacity threshold that triggers the large generation interconnecting process in ERCOT based on the ERCOT resource interconnection handbook? Cite the relevant source report and section for your answer
11,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What is the capacity threshold that triggers the large generation interconnection process in ISO New England based on the ISO-NE Interconnection Process Guide and ISO-NE Tariff Schedule 22 Large Generator Interconnection Procedures (LGIP)? Cite the relevant source report and section for your answer
12,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,"What is the maximum capacity threshold for a  generator in MISO to be eligible for the fast-track interconnection process in MISO, according to MISO Tariff Attachment X Generator Interconnection Procedures (GIP)? Cite the relevant source report and section for your answer"
13,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What is the maximum capacity threshold for a  generator in SPP to be eligible for the fast-track interconnection process based on SPP Open Access Transmission Tariff Attachment V Generator Interconnection Procedures? Cite the relevant source report and section for your answer
14,Knowledge retrieval and interpretation,Data retrieval with sources,Easy,What is the maximum capacity threshold for a  generator in CAISO to be eligible for the fast-track interconnection process based on the CAISO interconnection request and study website? Cite the relevant source report and section for your answer
22,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,"What are the major phases, decision points and associated fees, if any, in the NYISO generation interconnection cluster study process?"
23,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,"What are the major phases, decision points and associated fees, if any, in the PJM generation interconnection process?"
24,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the major fees associated with the ERCOT generation interconnection process?
25,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the requirements and fees required to submit a valid interconnection application for a large generator in ISO New England?
26,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What detailed fees and payments are associated with each stage of the generation interconnection process in the MISO interconnection workflow?
27,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What fees are required to submit  a valid generation interconnection application in SPP?
28,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What fees are required for a valid generation interconnection request submission in CAISO?
29,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the capacity threshold that triggers the large generation interconnection process in NYISO? Cite the relevant source report and section you got this from
30,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the capacity threshold that triggers the large generation interconnection process in PJM? Cite the relevant source report and section for your answer
31,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the capacity threshold that triggers the large generation interconnecting process in ERCOT? Cite the relevant source report and section for your answer
32,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the capacity threshold that triggers the large generation interconnection process in ISO New England? Cite the relevant source report and section for your answer
33,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the maximum capacity threshold for a  generator in MISO to be eligible for the fast-track interconnection process in MISO? Cite the relevant source report and section for your answer
34,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the maximum capacity threshold for a  generator in SPP to be eligible for the fast-track interconnection process? Cite the relevant source report and section for your answer
35,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the maximum capacity threshold for a  generator in CAISO to be eligible for the fast-track interconnection process? Cite the relevant source report and section for your answer
36,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the minimum capacity threshold to provide regulation service in NYISO?
37,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What is the minimum capacity threshold to provide regulation service in PJM? What is the minimum performance score to remain eligible for ongoing regulation participation?
38,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the core ramping and output level sustainance requirements for non-spinning reserves in ERCOT?
39,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the 5 resource criteria and regulation market supply offer components for an eligible regulation service resource in ISONE?
40,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,How is the regulation mileage procurement requirement calculated in CAISO?
41,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the different valid resource types for asset registration in SPP?
42,Knowledge retrieval and interpretation,Data retrieval without sources,Medium,What are the 3 main criteria that MISO regulating reserve products cleared in either the day-ahead or real-time market must meet?
43,Markets data retrieval and analysis,Data retrieval without sources,Medium,"Pull the day-ahead energy prices in ERCOT West hub in July 1-4, 2024. Your final response must include mean, minimum and maximum of the main data pulled"
44,Markets data retrieval and analysis,Data retrieval without sources,Medium,"Pull the demand profile for ERCOT Houston zone in January 1 - 4, 2024. Your final response must include mean, minimum and maximum of the main data pulled"
45,Markets data retrieval and analysis,Data retrieval without sources,Medium,"Pull the generation profile for nuclear plants only in ERCOT for December 1 - 4, 2024. Your final response must include mean, minimum and maximum of the main data pulled"
46,Markets data retrieval and analysis,Data retrieval without sources,Medium,"Pull the day-ahead energy prices in PJM AEP zone in July 1 - 4, 2023. Your final response must include mean, minimum and maximum of the main data pulled"
47,Markets data retrieval and analysis,Data retrieval without sources,Medium,"Pull the demand profile for PJM AEP load area in January 1 - 4, 2023. Your final response must include mean, minimum and maximum of the main data pulled"
48,Markets data retrieval and analysis,Data retrieval without sources,Medium,"Pull the supply profile for gas generators in PJM for December 1 - 4, 2023. Your final response must include mean, minimum and maximum of the main data pulled"
49,Markets data retrieval and analysis,Data retrieval without sources,Medium,"Pull the day-ahead energy prices in NYISO zone J in July 1 - 4, 2022. Your final response must include mean, minimum and maximum of the main data pulled"
50,Markets data retrieval and analysis,Data retrieval without sources,Medium,"Pull the demand profile for NYISO zone J in January 1 - 2, 2022. Your final response must include mean, minimum and maximum of the main data pulled"
51,Markets data retrieval and analysis,Data retrieval without sources,Medium,"Pull the generation profile for nuclear plants only in NYISO for December 1 - 2, 2022. Your final response must include mean, minimum and maximum of the main data pulled"
61,Markets data retrieval and analysis,Data retrieval without sources,Medium,"Pull the day-ahead energy prices in ISONE Connecticut load zone in July 1 - 4, 2023. Your final response must include mean, minimum and maximum of the main data pulled"
62,Markets data retrieval and analysis,Data retrieval without sources,Medium,"Pull the day ahead cleared demand profile for ISONE for January 1 - 4, 2023. Your final response must include mean, minimum and maximum of the main data pulled"
63,Markets data retrieval and analysis,Data retrieval without sources,Medium,"Pull the generation profile for nuclear plants in ISONE for December 1 - 2, 2023. Your final response must include mean, minimum and maximum of the main data pulled"
64,Markets data retrieval and analysis,Data retrieval without sources,Medium,"Pull the real time energy prices in ERCOT West hub in April 1, 2024. Your final response must include mean, minimum and maximum of the main data pulled"
65,Markets data retrieval and analysis,Data retrieval with sources,Easy,"Pull the day-ahead energy prices in ERCOT West hub in July 1 - 4, 2024 based on data from your ERCOT database. Your final response must include mean, minimum and maximum of the main data pulled"
66,Markets data retrieval and analysis,Data retrieval with sources,Easy,"Pull the demand profile for ERCOT Houston hub in January 1 - 4, 2024 based on data from your ERCOT database. Your final response must include mean, minimum and maximum of the main data pulled"
97,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,Which ancillary service in MISO had the highest average price during summer of 2022 based on data from your GridStatus API 
98,Markets data retrieval and analysis,Data retrieval and analysis with sources,Hard,What was the difference between average MISO Indiana Hub weekday and weekend day-ahead energy prices for each month in summer of 2023 based on data from your GridStatus API 
101,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Which ancillary service in ERCOT had the highest average price during summer of 2022?
102,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What was the difference between average ERCOT weekday and weekend day-ahead prices in summer of 2023?
103,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Which ancillary service in PJM had the highest average price during summer of 2022?
104,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What was the difference between average PJM weekday and weekend day-ahead prices in summer of 2023?
105,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Which ancillary service in NYISO had the highest average price during summer of 2022?
106,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What was the difference between average NYISO weekday and weekend day-ahead prices in summer of 2023?
111,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Which ancillary service in MISO had the highest average price during summer of 2022 
112,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What was the difference between average MISO Indiana Hub weekday and weekend day-ahead energy prices for each month in summer of 2023 
114,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What was the difference between average ISONE weekday and weekend day-ahead prices in summer of 2023?
115,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,How does peak demand compare across all 7 US ISOs in 2024 ?
117,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,"How do day ahead prices compare across ERCOT houston, PJM AEP and NYISO zone J hubs in summer of 2024?"
118,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What is the correlation between hourly wind generation and demand profile in ERCOT based on 2024 data? How does this compare with PJM and NYISO?
119,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Which of the seven U.S. ISOs had the highest MW weighted share of projects that entered the interconnection queue during 2010 to 2024 and ultimately reached commercial operation (COD) within the same period? Include the completion rates for each of the ISOs
120,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,Compare the average net revenues for a CCGT in ERCOT vs PJM based on 2020 market monitor reports data. How does this differ 2022 data and why?
121,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,How did volatility evolve in ERCOT West load zone in the day-ahead market vs real time market between 2020 and 2024?
122,Markets data retrieval and analysis,Data retrieval and analysis without sources,Hard,What were the electricity prices in ERCOT Houston hub during the top 10 outage periods in Texas Harris county in 2024?
135,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,"Based on your interconnection database, which ISO had the most active battery storage projects in the queue as at the end of 2024?"
144,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Which MISO price hub had the highest day-ahead average price in January 2024 based on data from your GridStatus API acess ?
145,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,Show me monthly average of day-ahead prices for MISO Indiana hub in 2023 based on data from your GridStatus API access
146,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,During which month did solar have the highest total MWH monthly output in MISO in 2023 based on data from your GridStatus API access ?
147,Markets data retrieval and analysis,Data retrieval and analysis with sources,Medium,"How did wind generation compare, in terms maximum hourly production and total energy production, in MISO between 2023 and 2024 based on your GridStatus API access ?"
152,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Which ERCOT price hub had the highest real-time average price in January 2024?
153,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,Show me monthly average of day-ahead prices for ERCOT Houston hub in 2023
154,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,During which month did wind have the highest total MWh output in ERCOT in 2023?
155,Markets data retrieval and analysis,Data retrieval and analysis without sources,Medium,How did wind generation compare in ERCOT between 2020 to 2024?
